Category,Key,English,Korean,Notes
Levels,The Crypt,The Crypt,지하 묘지,
,The Bramble,The Bramble,가시덤불,
,The Bramble1,Animals have long explored the ominious crypts that stretch beneath Orderia. But a new path through the Bramble beckons to those who are strong enough,동물들은 오랫동안 오데리아 아래에 펼쳐진 불길한 지하 묘지를 탐험했습니다. 하지만 가시덤불을 통과하는 새로운 길은 강인한 자에게만 열려 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,Deep Cave,Deep Cave,깊은 동굴,
,Deep Cave1,"Beneath the crypts, a strange rocky area holds many secrets",지하 묘지 아래에는 많은 비밀이 숨겨진 기이한 암석 지대가 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,Enchanted Swamp,Enchanted Swamp,마법의 늪,
,Enchanted Swamp1,"Reptiles crawl in these mana-infused wetlands. Lit by magic, the waters are as dangerous as they are enchanting",마나로 가득한 이 습지에서는 파충류가 기어 다닙니다. 마법으로 빛나는 물은 매혹적이면서도 위험합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,Magma Core,Magma Core,용암 핵,
,Magma Core1,The temperature is rising! Few animals have seen the lava flows beneath Orderia and lived to tell of them!,온도가 올라가고 있습니다! 오데리아 아래에서 용암이 흐르는 것을 보고 살아남은 동물은 거의 없습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,Frozen Heart,Frozen Heart,얼어붙은 심장, WARNING: ENGLISH PLACEHOLDER #####################################################
,Frozen Heart1,"In the deepest parts of Orderia, majestic ice formations are a sight to behold. But beware - these frostbitten paths have been the end of many explorers",오데리아의 가장 깊은 곳에서는 웅장한 얼음 지형이 장관을 이룹니다. 하지만 주의하세요. 이 꽁꽁 얼어붙은 길은 많은 탐험가의 목숨을 앗아갔습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,Chaotic Darkness,Chaotic Darkness,혼돈의 어둠, WARNING: ENGLISH PLACEHOLDER #####################################################
map events,map1,Enemies here:,이곳의 적:,
,map2,Exit to:  /x , /x 로 향하는 출구,
,map3,A chest of valuables!,귀중품이 든 상자!,
,map4,An unknown event is here!,여기에 수수께끼의 상황이 있습니다!,
,map5,A merchant is selling goods here!,여기서 상인이 물건을 팔고 있습니다!,
,map6,A locked door! I need a key!,잠긴 문! 열쇠가 필요합니다!,
,map7,A healer!,치유사!,
,map8,A forge!,대장간!, WARNING: AUTO-TRANSLATION #####################################################
,map9,A vision of danger!,위험의 계시!, WARNING: AUTO-TRANSLATION #####################################################
,map10,Something to collect is here!,수집할 게 있습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,map11,The dungeon is collapsing here!,여기 던전이 무너지고 있습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,map12,Some animals have been foraging around here. New pets!,여기서 먹이를 찾는 동물들이 있습니다. 새로운 펫!, WARNING: ENGLISH PLACEHOLDER #####################################################
,map13,Parcel is meeting me here!,파셀과 여기로 만나기로 했어요!, WARNING: ENGLISH PLACEHOLDER #####################################################
,mapPurse,There I am! I have been doodling on the map,이건 저예요! 지도에 낙서를 하고 있답니다.,
,mapSatchel,That's me! I think I spilled some coffee on the map,이건 저예요! 지도에 커피를 조금 흘린 것 같아요.,
,mapTote,Thank goodness I remembered my glasses!,안경을 잊지 않고 가져와서 다행이네요!,
,mapCR8,Position identified. Subroutine parameters: hoard loot,위치 확인 완료. 서브루틴 매개 변수: 전리품 축적.,
,mapPochette,This is deeper than I've ever gone before,내가 여태까지 내려왔던 길 중 가장 깊은 곳이에요., WARNING: ENGLISH PLACEHOLDER #####################################################
character select,characterSelect,Character Select,캐릭터 선택,
,satchel,satchel,사첼, WARNING: AUTO-TRANSLATION #####################################################
,satchel1,"Satchel is the son of a noble bird on the run from the evil Crow King, Corvus! With his bag ripped and town captured, Satchel seeks the help of other heroes, and to discover the mystery of the Spiral of Feathers!","사첼은 사악한 까마귀 왕 코르부스로부터 도망친 귀족의 아들입니다! 가방은 찢어지고, 마을은 포로로 잡힌 사첼은 다른 영웅들의 도움으로 깃털의 나선의 수수께끼를 밝혀내기를 바라고 있습니다!", WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,purse,purse,퍼스,
,purse1,"A peppy rat from a poor village in Oakshire Forest, she aims to storm the dungeon, rebuild her village, and save her family!",오크샤이어 숲의 가난한 마을에서 태어난 기운 넘치는 생쥐인 퍼스는 던전을 털어 마을을 뜯어고치고 가족을 구하려는 목표를 가지고 있습니다!,
,tote,tote,토트,
,tote1,"Banished by the elder frogs, her backpack is blessed by the Dreaming Tree. Magical carvings spawn each turn she is in danger.",원로 개구리들로부터 추방당한 토트의 가방은 꿈꾸는 나무로부터 축복을 받았습니다. 토트가 위험에 빠질 때면 마법의 인각이 생겨납니다.,
,CR-8,CR-8,CR-8,
,CR-81,"When you can't find a hero, you gotta make one! CR-8 is a mishmash of metal and nerd stuff that will take care of any enemy automatically - provided his circuitry is properly organized.","영웅을 찾을 수 없다면, 직접 만들면 되죠! 철과 샌님이 쓸만한 물건으로 구성된 CR-8은 그 어떤 적이든지 자동으로 처리해줍니다. 물론 회로가 제대로 정리돼있기만 하다면요.",
,Pochette,Pochette,포셰트, WARNING: ENGLISH PLACEHOLDER #####################################################
,Pochette1,Raised in the dungeon by a family of hermit crabs. She is more comfortable with her pets than with strangers!,던전에서 소라게 가족의 보살핌을 받으며 자랐습니다. 모르는 사람보다 펫을 더 좋아합니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
Events///////////////I is intros and f is farewells,,,,
,evg, /x gold, /x 골드,
,chest,chest,상자, WARNING: AUTO-TRANSLATION #####################################################
,evtn,Welcome to the dungeon!,던전에 어서 오세요!,
,evto1,You must conquer the dungeon by delving deep to the center to discover the ancient cheeses hidden there. You are armed only with your magic backpack.,당신은 던전의 중앙 깊숙이 숨겨져 있는 고대의 치즈를 찾기 위해 던전을 정복해야 합니다. 당신의 무장은 마법 가방이 전부입니다.,
,evtb1,I'm ready!,준비됐어!,
,evtb1o1,"You head into the dungeon, knowing very few make it back alive!",당신은 오직 소수만이 무사히 귀환했다는 던전으로 향합니다!,
,evten,The end?,끝인가요?,
,evteo1,You have made it to the center of the dungeon and have found the golden cheese! More content is coming! Please join our discord and show off your  backpack!,"당신은 던전의 중앙에서 황금 치즈를 찾아냈습니다! 차후에 있을 더 많은 콘텐츠를 기대해주시고, 저희 디스코드 서버에 참여해 가방을 자랑하세요!",
,evteo1cr8,"You see a golden cog upon the platform. Reaching out, it lifts into the sky. Your machinery will restore Orderia! This is only the beginning of your new machines!","당신은 단 위에 황금 기어를 발견합니다. 손을 뻗으니, 기어는 하늘로 승천합니다. 당신의 기계가 오데리아를 복원할 겁니다! 이건 당신의 새로운 기계들의 시작일 뿐이에요!", WARNING: AUTO-TRANSLATION #####################################################
,evteo1purse,"Your whiskers twitch. There it is - the golden cheese! With delicious food, many new villagers will flock to Orderia!","당신의 수염이 움찔거립니다. 바로 눈앞에 황금 치즈가 있군요! 이런 진미가 있으면, 많은 사람들이 오데리아로 몰려들 겁니다!", WARNING: AUTO-TRANSLATION #####################################################
,evteo1tote,"Atop the altar is a golden seed - a ""Dreaming Seed"". With each seed, a new plant will spring to life in Orderia!","제단의 위에는 황금빛 ""꿈꾸는 씨앗""이 있습니다. 심어지는 매 씨앗마다, 오데리아에는 새로운 풀이 삶을 가지고 자랄 거예요!", WARNING: AUTO-TRANSLATION #####################################################
,evteo1satchel,A piece from the Spiral of Feathers! Each new feather brings a piece of your lost home to Orderia.,깃털의 나선의 조각! 깃털을 한 개 가져올 때마다 잃어버린 고향의 부분이 오데리아로 불러와집니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,evteo1Pochette,You hear a chanting from the halls of the dungeon. The darkness that has enveloped Orderia is being lifted.,던전의 복도에서 성가가 들려옵니다. 오데리아를 뒤덮고 있던 어둠이 씻기고 있습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,evteb1,Continue in Endless Mode,무제한 모드로 계속하기,
,evteb1o1,You continue forward! Things are about to get pretty hard...,당신은 앞으로 더 나아갑니다! 여기서부터는 일이 꽤 어려워질 텐데요...,
,evteb2,New game!,새로운 게임!,
,evteb2o1,You decide to start again for a new challenge!,당신은 새로운 도전을 위해 다시 시작하기로 결정합니다!, WARNING: ENGLISH TEXT CHANGED #####################################################
,evldn,Locked door,잠긴 문,
,evldo1,You encounter a locked door. Will you open it?,잠긴 문을 발견했습니다. 열 건가요?,
,evldb1,Unlock the door,문을 연다,
,evldb1o1,You open the door.,당신은 문을 엽니다.,
,evldb2,Leave,그대로 둔다,
,evldb2o1,You leave the door.,당신은 문을 그대로 둡니다.,
,ev1n,The master returns,고수의 귀환,
,ev1o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... 'May I help you further?' he asks. 'A few coins and I will give you an item for archers.'",당신은 멀리서 무릎을 꿇고 있는 한 고결한 남자를 발견합니다. 이 남자는 당신을 오래전에 본 적이 있는 것 같습니다. 쥐인 그의 눈에는 강인함과 통찰력이 빛납니다. 당신은 이 남자가 당신의 영혼까지 바라보고 있는 것을 느낍니다. 남자는 묻습니다. '당신의 앞길에 도움이 필요한가? 동전 몇 푼만 주면 궁수가 쓸 수 있는 물건을 하나 주지.',
,ev1b1,Get an item,물건을 받는다,
,ev1b1o1,"He takes the coins and rubs them in his mouse paw. ""Just a few will do nicely. I hope this can help you further,"" he says.","남자는 동전을 받고 자신의 손에 문질러봅니다. ""몇 개면 되겠지. 이게 당신의 앞날에 도움이 되기를.""",
,ev1b1o1t1,Fly true like an arrow,화살처럼 올곧게 날지어다,
,ev1b1o1t2,Be one with your aim,내 조준과 하나가 될지어다,
,ev1b2,Not for me,저는 됐어요,
,ev1b1o2t,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""","남자는 벽에 기대며 말합니다. ""이해한다. 걱정 마라. 궁수들이 오고 있으니, 시간이 지나면 이 던전의 상황도 더 나아질 거야.""",
,ev1b1o2t1,Archery requires time.,양궁에는 시간이 필요하지.,
,ev1i1,The arrow flies straight.,화살은 올곧게 날아간다.,
,ev1i2,The path of an arrow - to the heart,화살의 길은 심장으로 향하는 법.,
,ev1i3,Archery is an art,양궁은 예술이다.,
,ev1i4,Arrows require patience,화살은 인내를 필요로 하지.,
,ev1f1,May we meet again,우리의 연이 다시 닿기를.,
,ev1f2,In another life...,다음 생에...,
,ev1f3,Fly straight,흔들리지 말고 날도록.,
,ev1f4,Aim true,정확히 조준해라.,
,ev1f5,Bullseye.,명중을 빈다.,
,ev1f6,Stay in range,거리를 벌리도록.,
,ev2n,Master Archer,양궁의 고수,
,ev2o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... ""A trade my sibling?"" he asks. ""Discard the tools of badgers. Be one with flight.""","당신은 멀리서 무릎을 꿇고 있는 한 고결한 남자를 발견합니다. 이 남자는 당신을 오래전에 본 적이 있는 것 같습니다. 쥐인 그의 눈에는 강인함과 통찰력이 빛납니다. 당신은 이 남자가 당신의 영혼까지 바라보고 있는 것을 느낍니다. 남자는 묻습니다. ""형제여, 교환 하나 하지 않겠나? 오소리의 도구는 버리고, 화살과 하나가 되는 거야.""",
,ev2b1,"Give a weapon, get archery kit.",무기를 하나 주고 활과 화살을 받는다.,
,ev2b1o1,"He takes the weapon and tosses it into the darkness. ""This is not a weapon. It is a crutch."" He hands you new items.","남자는 무기를 받아 어둠 속으로 던져버립니다. ""이건 무기가 아니야. 목발일 뿐이지."" 남자는 새로운 물건들을 건네줍니다.",
,ev2b1o1t1,Welcome to the school of archery.,양궁의 길에 접어든 걸 환영하지.,
,ev2b2,Not for me,저는 됐어요,
,ev2b2o1,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""","남자는 벽에 기대며 말합니다. ""이해한다. 걱정 마라. 궁수들이 오고 있으니, 시간이 지나면 이 던전의 상황도 더 나아질 거야.""",
,ev2b2o1t1,Archery requires time.,양궁에는 시간이 필요하지.,
,ev3n,The retiring Chef,은퇴하는 셰프,
,ev3o1,"Age has crept in around his snout. You can see the white fur and shaggy edges from around his coat. ""I'm getting out of the game,"" he says. ""If you have something to eat, I might as well give you my cleaver.""","남자의 코에는 주름이 가득 져 있습니다. 그의 가죽에 흰 털이 듬성듬성 나 있는 것도 보입니다. 남자가 말합니다. ""이젠 나도 한물갔군. 만약 먹을 걸 하나 얻을 수 있다면, 내 중식도를 건네주겠네.""",
,ev3b1,Trade food for a cleaver,음식을 내고 중식도를 받는다,
,ev3b1o1,"Looks good to me, he says. You can't believe that he eats the whole thing without a moment's thought. ""Here you go,"" he says and hands you his chef knife. ""I won't be needing this any more.""","남자는 자기 눈에는 괜찮아 보인다는 말을 합니다. 당신은 그 남자가 한 치의 주저도 없이 음식을 전부 먹어버린 것을 믿을 수 없습니다. ""여기."" 남자가 말하며 자신의 식칼을 건넵니다. ""이건 더 이상 필요 없겠군.""",
,ev3b1o1t1,I loved that knife. Use it well!,"내가 아끼던 칼이니, 좋은 데에 쓰라고!",
,ev3b1o1t2,I hope you like it!,마음에 들었으면 좋겠군!,
,ev3b2,No thanks!,됐네!,
,ev3b2o1,You turn to leave.,자네가 갈 차례야.,
,ev3b2o1t1,Sure you won't change your mind?,마음 바꿀 생각은 없나?,
,ev3i1,Ah! Hope you aren't too hungry.,아! 자네 배고픈 거 아니지?,
,ev3i2,Oh my!,세상에!,
,ev3f1,Eat well!,잘 먹고 다니게!,
,ev3f2,Be well fed!,배는 채우고 다니게!,
,ev3f3,Taste victory!,승리의 맛을 누릴 수 있기를!,
,ev3f4,Stay full!,항상 배는 채우게!,
,ev3f5,Find cheese!,치즈를 찾을 수 있기를!,
,ev3f6,Welcome! Eat well!,어서 오게! 잘 먹게!,
,ev3f7,Ah! A customer!,아! 손님이군!,
,ev4n,Chef's platter,셰프의 접시,
,ev4o1,"Is that grilled onion you smell? And the scent of garlic? Oh wow! You want some so bad! ""My friend!,"" the mouse shouts to you. ""Let me indulge you!""","이건 구운 양파 냄새일까요? 이젠 마늘 향까지 나는 것 같군요. 세상에! 한 입 먹을 수 있다면 너무 좋겠는걸요. ""거기 친구!"" 쥐가 소리칩니다. ""내가 즐겁게 해주지!""", WARNING: AUTO-TRANSLATION #####################################################
,ev4o1cr8,"Your gears shift and churn. Is that the aroma of food? Somewhere deep within you, a memory stirs. But you cannot smell anything. The mouse shouts to you. ""Let me indulge you!""","당신의 톱니가 돌고 돕니다. 이건 음식의 향인 걸까요? 당신의 깊은 곳 어딘가에서, 기억이 하나 꿈틀댑니다. 하지만 당신은 아무런 냄새도 맡을 수 없는 걸요. 쥐가 당신에게 소리칩니다. ""내가 즐겁게 해주지!""", WARNING: AUTO-TRANSLATION #####################################################
,ev4b1,Buy some food!,음식을 산다!,
,ev4b1o1,"Very good, he says. ""Another perhaps?""","남자는 말합니다. ""아주 좋아, 한 그릇 더 먹을 생각 없나?""",
,ev4b2,"No, thank you",됐어요,
,ev4b2o1,"Very good sir, he says. ""But please do change your mind.""","남자는 말합니다. ""아주 좋네, 하지만 부디 생각을 바꿔주게""",
,ev4b2o1t1,More food to be had!,더 먹자!,
,ev4b2o1t2,Eat again!,또 먹는다!,
,ev5n,Eyes,눈,
,ev5o1,The wall splits open. Inside you can see a vast abyss. Green eyes peer in. You recognize them as the eyes of a predator. Strange sounds echo from the place and an offer is made...,"벽이 갈라져 열립니다. 그 안에는 광활한 공허가 보입니다. 갑자기 포식자의 눈과 같은 녹색 눈이 당신을 바라봅니다. 이상한 소리가 주변을 채우고, 한 제안이 들려옵니다...",
,ev5b1,Take a rare item for a curse,저주와 함께 희귀한 물건을 받는다,
,ev5b1o1,You can feel an acknowledgement and an item appears. The eyes watch as a horrible curse is placed in your backpack,당신은 알았다는 듯의 신호와 함께 물건이 생겨나는 것을 바라봅니다. 당신의 가방에 끔찍한 저주가 내려지는 것은 눈들은 지켜만 봅니다.,
,ev5b1o2,"Two items appear in front of you, but a horrible curse has been placed upon you. The eyes give no sign of emotion.","두 개의 물건이 당신의 눈앞에 생겨나지만, 당신에게 끔찍한 저주가 내려졌습니다. 당신을 바라보는 눈에는 그 어떤 감정도 서려 있지 않습니다.",
,ev5b2,No thanks,됐어요,
,ev5b2o1,The eyes watch you. They show no sign of emotion. ,눈들은 당신을 아무런 감정 없이 지켜봅니다., WARNING: ENGLISH TEXT CHANGED #####################################################
,ev5i1,01100111 01101111 01101110 01100101,01100111 01101111 01101110 01100101,
,ev5i2,01110111 01100001 01110010,01110111 01100001 01110010,
,ev5i3,01101101 01100001 01101011 01100101 01110010 01110011,01101101 01100001 01101011 01100101 01110010 01110011,
,ev5f1,01110010 01100101 01101100 01101001 01100011 01110011,01110010 01100101 01101100 01101001 01100011 01110011,
,ev5f2,01100100 01100001 01101110 01100111 01100101 01110010,01100100 01100001 01101110 01100111 01100101 01110010,
,ev5f3,01100001 01101000 01100101 01100001 01100100,01100001 01101000 01100101 01100001 01100100,
,ev6n,Brandy the Otter,수달 브랜디,
,ev6o1,"Well, howdy! she says as you approach! Her nose wiggles and she shakes her gigantic tail. ""I've been doing some fishing. Care to buy one?""","당신이 다가오는 것을 보고 여자가 입을 엽니다. ""거기 안녕하신가!"" 여자의 거대한 꼬리와 함께 코가 움찔댑니다. ""내가 낚시를 좀 하고 있었는데, 하나 살 생각 없수?""",
,ev6b1,Buy a fish!,생선을 산다!,
,ev6b1o1,"She tosses you a fish. ""Care for another?""","여자는 당신에게 생선을 하나 던져줍니다. ""하나 더 어때?""",
,ev6b1o1t1,Hope you enjoy it!,맛있게 먹으라고!,
,ev6b1o1t2,That's good!,좋아!,
,ev6b2,No thanks,됐어요,
,ev6b2o1,You say no. The smell is starting to get to be a bit much.,당신은 거절합니다. 냄새가 조금 심하게 느껴지기 시작하는군요.,
,ev6b2o1t1,I'm still here if you want more!,더 필요하면 말만 하라고!,
,ev6b2o1t2,"If you want a fish, let me know!",생선이 필요하면 나한테 얘기하슈!,
,ev6i1,Well howdy traveler!,"거기 안녕하신가, 여행자 양반!",
,ev6i2,"Nothing like a good fish, ya hear?",좋은 생선만큼 좋은 것도 없지!,
,ev6i3,I'm hungry! Need to chomp!,"배가 고파, 먹을 게 필요해!",
,ev6i4,Oh! Well how ya' doin' friend?,"아! 거기 안녕, 친구?",
,ev6i5,Mmm... hi howdy there!,음... 거기 안녕!,
,ev6f1,See you again soon!,금방 이따가 봐!,
,ev7n,The Forge - Shield,대장간 - 방패,
,ev7o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.","한 오소리가 자신의 모루 옆에 서 있습니다. 던전에서 있던 시간을 뽐내기라도 하듯, 그 여성의 팔은 강하고 단단합니다. 그는 말합니다. ""난 쇠를 벼린다."" 오소리는 과묵하기로 유명하죠. 그는 묻습니다. ""강화는?""",
,ev7b1,Add 4 block,방어를 4 추가한다,
,ev7b1o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.","오소리는 당신의 방패를 받아 망치로 강타합니다. 던전에 철이 울리는 소리가 메아리칩니다. ""약해."" 그는 말합니다. ""낫게 만든다."" 정확한 타격 몇 번으로 그는 당신의 방패를 새롭게 재탄생시킵니다. 당신은 멋있어진 방패에 모습에 놀라움을 감추지 못합니다.",
,ev7b1o1t1,You enjoy.,잘 써라.,
,ev7b2,Add 1 spike,가시를 1 추가한다,
,ev7b2o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.","오소리는 당신의 방패를 받아 망치로 강타합니다. 던전에 철이 울리는 소리가 메아리칩니다. ""약해."" 그는 말합니다. ""낫게 만든다."" 정확한 타격 몇 번으로 그는 당신의 방패를 새롭게 재탄생시킵니다. 당신은 멋있어진 방패에 모습에 놀라움을 감추지 못합니다.",
,ev7b2o1t1,Better now.,이제 더 낫다.,
,ev7b3,Add 1 haste,신속을 1 추가한다,
,ev7b3o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.","오소리는 당신의 방패를 받아 망치로 강타합니다. 던전에 철이 울리는 소리가 메아리칩니다. ""약해."" 그는 말합니다. ""낫게 만든다."" 정확한 타격 몇 번으로 그는 당신의 방패를 새롭게 재탄생시킵니다. 당신은 멋있어진 방패에 모습에 놀라움을 감추지 못합니다.",
,ev7b3o1t1,Work fun.,일은 즐겁다.,
,ev7b4,No thanks,됐어요,
,ev7b4o1,She nods and carries on her work.,그 여자는 고개를 끄덕이고 하던 일로 돌아갑니다.,
,ev7b4o1t1,Work to do.,할 일 많다.,
,ev7b4o1t2,No want?,필요 없나?,
,ev7b4o1t3,Still here...,아직 있다...,
,ev7i1,This my forge,이건 내 대장간.,
,ev7i2,Welcome to forge,대장간에 어서 와라.,
,ev7i3,I am a crafter,나는 장인이다.,
,ev7i4,I craft for ages...,나는 수년간 만들었다.,
,ev7f1,Be well,잘 있어라.,
,ev7f2,Be strong,강해라.,
,ev7f3,Be fierce,용감해라.,
,ev7f4,Be like Badger,오소리처럼 돼라.,
,ev8n,The Forge,제련소, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.","한 오소리가 자신의 모루 옆에 서 있습니다. 던전에서 있던 시간을 뽐내기라도 하듯, 그 여성의 팔은 강하고 단단합니다. 그는 말합니다. ""난 쇠를 벼린다."" 오소리는 과묵하기로 유명하죠. 그는 묻습니다. ""강화는?""",
,ev8b1,Add /x damage to a weapon,무기에 피해를 /x 추가한다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b2,Add /x poison to a weapon,무기에 독을 /x 추가한다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b3,Add /x burn to a weapon,무기에 화상을 /x 추가한다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b4,Add /x slow to enemy to a weapon,무기에 적 대상 감속을 /x 추가한다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b5,Add /x block to armor,보호구에 /x 의 방어를 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b6,Add /x block to a shield,방패에 /x 의 방어를 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b7,Add /x haste to a shield,방패에 /x 의 신속을 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b8,Add /x spikes to a shield,방패에 /x 의 가시를 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b9,Add conductive to armor,보호구에 전도성을 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b10,Add /x energy to clothing,옷에 /x 의 에너지를 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b11,Add /x haste to a structure,구조물에 /x 의 신속을 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b12,Add /x regen to a ring,반지에 /x 의 회복을 추가한다, WARNING: AUTO-TRANSLATION #####################################################
,ev8b13,Add /x rage to melee weapon,근접 무기에 /x 의 분노를 추가한다, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b14,Add /x damage to an instrument,악기에 /x 피해를 추가한다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8b15,Add /x charm to an instrument,악기에 /x 매혹을 추가한다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8b16,Add natural to a carving,인각에 자연스러움을 더한다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8bNoThanks,No thanks,됐어요, WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8bNoThankso1,She nods and carries on her work.,그 여자는 고개를 끄덕이고 하던 일로 돌아갑니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8bNoThankso1t1,Work to do.,할 일 많다., WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8bNoThankso1t2,No want?,필요 없나?, WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8bNoThankso1t3,Still here...,아직 있다..., WARNING: ENGLISH PLACEHOLDER #####################################################
,ev8bsos,"She takes the item, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, it glows with a new purpose.","여자는 당신의 물건을 집고, 몇 번 돌려보더니, 모루에 올려놓습니다. 당신은 망치로부터 튀는 불똥이 눈에 들어가지 않게 뒤를 돌아봅니다. 당신이 다시 뒤를 돌아봤을 때, 당신의 물건은 새로운 목적을 가진 채 빛나고 있었습니다.", WARNING: AUTO-TRANSLATION #####################################################
,ev8bsosts,I help,난 돕는다., WARNING: AUTO-TRANSLATION #####################################################
,ev9n,Healer,치료사,
,ev9o1,The porcupine's have travelling clinics throughout the dungeon. They seek to heal the animals who venture deep into the dangers here.,호저들은 던전 곳곳에 떠돌이 치료소를 차리곤 합니다. 그들을 위험한 이곳을 탐험하는 동물들을 치료하기를 원하죠.,
,ev9b1,Heal 25 health,체력을 25 회복한다,
,ev9b1o1,"She runs her paw across your wounds. The quills on her back shake and you are lost in the sound of them. When you come to, many wounds are healed.",호저는 당신의 상처에 손을 올려놓습니다. 그의 등에 있는 가시들이 흔들리는 소리에 당신은 매혹됩니다. 당신이 정신을 차릴 무렵은 많은 상처가 회복된 뒤였습니다.,
,ev9b1o1t1,You look stronger my dear!,더 강해진 것 같군요!,
,ev9b1o1t2,Glad to have helped you!,도움을 줄 수 있어 다행이에요!,
,ev9b1o1t3,I am here for you!,제가 도와드릴게요!,
,ev9b1o1t4,Those wounds are gone.,상처는 이제 사라졌어요.,
,ev9b2,Gain 5 max health ,최대 체력을 5 늘린다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1,She reaches out and you feel a great strength rising! For a moment you seem to lift off the floor.,여자가 당신을 향해 손을 뻗자 엄청난 힘이 느껴집니다! 잠깐 발이 땅에서 뜬 것 같습니다., WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1purse,"She reaches out to you. You feel a great strength in you rising. Your paws are firmly planted, but it almost feels that you are floating.","호저는 당신에게 손을 가져다 댑니다. 당신의 속에서 힘이 끓어오르는 것이 느껴집니다. 당신의 발은 땅에 붙어있지만, 기분만큼은 하늘을 날고 있는 듯합니다.", WARNING: AUTO-TRANSLATION #####################################################
,ev9b2o1t1,You are stronger now than before.,당신은 이제 강해졌어요.,
,ev9b2o1t2,I see your strength.,당신의 힘이 보여요.,
,ev9b2o1t3,May you achieve what seemed impossible.,불가능해 보였던 걸 이룰 수 있기를.,
,ev9b2o1t4,Your bravery astounds me.,당신의 용기가 대단해요.,
,ev9b3,Cleanse all curses,모든 저주를 정화한다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b3o1,"I sense a great disturbance, she says. ""Something horrible has been placed in your backpack. Let me see."" She removes a single quill and pokes it into your bag carefully in several spots. ""That should do it,"" she says.","당신의 기를 방해하는 힘이 느껴져요. 호저는 말합니다. ""끔찍한 무언가가 당신의 가방에 있어요. 제가 볼게요."" 호저는 자신의 가시 중에 하나를 뽑아 가방 안 몇 군데를 조심스럽게 찌릅니다. ""이제 됐을 거예요.""",
,ev9b3o1t1,The curses can't hurt you now.,이제 저주는 당신을 해칠 수 없어요.,
,ev9b3o1t2,Your backpack is a true friend.,당신의 가방은 당신의 친구죠.,
,ev9b3o1t3,Curses are temporary.,저주는 일시적일 뿐이에요.,
,ev9b3o1t4,Heroics are forever.,영웅은 죽지 않아요.,
